source_code,source_description,premise_category,broad_anchor_class
878,MTA - ORANGE LINE - PIERCE COLLEGE,public_institutional,public_institutional
879,MTA - ORANGE LINE - DE SOTO,built_other,built_other
880,MTA - ORANGE LINE - CANOGA,built_other,built_other
882,MTA - ORANGE LINE - SHERMAN WAY,built_other,built_other
883,MTA - ORANGE LINE - ROSCOE,built_other,built_other
884,MTA - ORANGE LINE - NORDHOFF,built_other,built_other
885,MTA - ORANGE LINE - CHATSWORTH,built_other,built_other
889,MTA - SILVER LINE - LAC/USC MEDICAL CENTER,built_other,built_other
890,MTA - SILVER LINE - UNION STATION,transit,transit
891,MTA - SILVER LINE - DOWNTOWN STREET STOPS,outdoor,outdoor
892,MTA - SILVER LINE - 37TH ST/USC,built_other,built_other
893,MTA - SILVER LINE - SLAUSON,built_other,built_other
894,MTA - SILVER LINE - MANCHESTER,built_other,built_other
895,MTA - SILVER LINE - HARBOR FWY,built_other,built_other
896,MTA - SILVER LINE - ROSECRANS,built_other,built_other
897,MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR,built_other,built_other
898,MTA - SILVER LINE - PACIFIC COAST HWY,built_other,built_other
900,MTA - RED LINE - UNION STATION,transit,transit
901,MTA - RED LINE - CIVIC CENTER/GRAND PARK,public_institutional,public_institutional
902,MTA - RED LINE - PERSHING SQUARE,built_other,built_other
903,MTA - RED LINE - 7TH AND METRO CENTER,transit,transit
904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,public_institutional,public_institutional
905,MTA - RED LINE - WILSHIRE/VERMONT,built_other,built_other
906,MTA - RED LINE - VERMONT/BEVERLY,built_other,built_other
907,MTA - RED LINE - VERMONT/SANTA MONICA,built_other,built_other
908,MTA - RED LINE - VERMONT/SUNSET,built_other,built_other
909,MTA - RED LINE - HOLLYWOOD/WESTERN,built_other,built_other
910,MTA - RED LINE - HOLLYWOOD/VINE,built_other,built_other
911,MTA - RED LINE - HOLLYWOOD/HIGHLAND,built_other,built_other
912,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,built_other,built_other
913,MTA - RED LINE - NORTH HOLLYWOOD,built_other,built_other
915,MTA - PURPLE LINE - UNION STATION,transit,transit
916,MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK,public_institutional,public_institutional
917,MTA - PURPLE LINE - PERSHING SQUARE,built_other,built_other
918,MTA - PURPLE LINE - 7TH AND METRO CENTER,transit,transit
919,MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK,public_institutional,public_institutional
920,MTA - PURPLE LINE - WILSHIRE/VERMONT,built_other,built_other
921,MTA - PURPLE LINE - WILSHIRE/NORMANDIE,built_other,built_other
922,MTA - PURPLE LINE - WILSHIRE/WESTERN,built_other,built_other
931,MTA - BLUE LINE - 7TH AND METRO CENTER,transit,transit
932,MTA - BLUE LINE - PICO,built_other,built_other
933,MTA - BLUE LINE - GRAND/LATTC,built_other,built_other
934,MTA - BLUE LINE - SAN PEDRO,built_other,built_other
935,MTA - BLUE LINE - WASHINGTON,built_other,built_other
936,MTA - BLUE LINE - VERNON,built_other,built_other
937,MTA - BLUE LINE - 103RD/WATTS TOWERS,built_other,built_other
940,MTA - EXPO LINE - 7TH AND METRO CENTER,transit,transit
941,MTA - EXPO LINE - PICO,built_other,built_other
942,MTA - EXPO LINE - LATTC/ORTHO INSTITUTE,built_other,built_other
943,MTA - EXPO LINE - JEFFERSON/USC,built_other,built_other
944,MTA - EXPO LINE - EXPO PARK/USC,public_institutional,public_institutional
945,MTA - EXPO LINE - EXPO/VERMONT,built_other,built_other
946,MTA - EXPO LINE - EXPO/WESTERN,built_other,built_other
947,MTA - EXPO LINE - EXPO/CRENSHAW,built_other,built_other
948,MTA - EXPO LINE - FARMDALE,built_other,built_other
949,MTA - EXPO LINE - EXPO/LA BREA,built_other,built_other
950,MTA - EXPO LINE - LA CIENEGA/JEFFERSON,built_other,built_other
951,MTA - EXPO LINE - PALMS,built_other,built_other
952,MTA - EXPO LINE - WESTWOOD/RANCHO PARK,public_institutional,public_institutional
953,MTA - EXPO LINE - EXPO/SEPULVEDA,built_other,built_other
954,MTA - EXPO LINE - EXPO/BUNDY,built_other,built_other
956,MTA - GREEN LINE - AVALON,built_other,built_other
957,MTA - GREEN LINE - HARBOR FWY,built_other,built_other
958,MTA - GREEN LINE - AVIATION/LAX,built_other,built_other
961,MTA - GOLD LINE - INDIANA,built_other,built_other
